team,ft_rate,team_key,three_rate,two_rate,two_pt_pct,three_pt_pct,efg_pct,pace,off_rating,def_rating,turnover_rate,ast_rate,orb_rate,net_rating,shot_selection_balance,source_season_label,source_date
Abl Christian,0.28600000000000003,abl christian,0.32799999999999996,0.672,0.479,0.31,0.475,71.1,95.5,103.8,0.20199999999999999,0.541,0.276,-8.299999999999997,0.041999999999999926,2025,2026-03-18
Air Force,0.24100000000000002,air force,0.418,0.5820000000000001,0.511,0.306,0.489,68.7,89.60000000000001,116.3,0.215,0.559,0.193,-26.69999999999999,0.17699999999999996,2025,2026-03-18
Akron,0.221,akron,0.451,0.5489999999999999,0.591,0.385,0.585,72.9,119.19999999999999,102.2,0.152,0.574,0.327,16.999999999999986,0.23,2025,2026-03-18
Alabama,0.28,alabama,0.537,0.46299999999999997,0.573,0.358,0.5539999999999999,77.2,118.8,108.1,0.127,0.535,0.293,10.700000000000003,0.257,2025,2026-03-18
Alabama A&M,0.32,alabama a and m,0.34,0.66,0.475,0.35,0.49200000000000005,69.1,103.2,106.80000000000001,0.161,0.48,0.251,-3.6000000000000085,0.020000000000000018,2025,2026-03-18
Alabama St,0.252,alabama st,0.385,0.615,0.46799999999999997,0.318,0.47100000000000003,72.9,98.1,106.4,0.179,0.476,0.302,-8.300000000000011,0.133,2025,2026-03-18
Albany,0.188,albany,0.376,0.624,0.528,0.326,0.513,67.6,101.6,110.2,0.18,0.489,0.299,-8.600000000000009,0.188,2025,2026-03-18
Alcorn St,0.228,alcorn st,0.337,0.6629999999999999,0.465,0.33299999999999996,0.47700000000000004,71.2,94.0,112.6,0.191,0.466,0.248,-18.599999999999994,0.10900000000000001,2025,2026-03-18
American,0.218,american,0.465,0.535,0.5329999999999999,0.32899999999999996,0.515,68.0,105.80000000000001,106.89999999999999,0.153,0.495,0.248,-1.09999999999998,0.24700000000000003,2025,2026-03-18
App State,0.28600000000000003,app st,0.45899999999999996,0.541,0.536,0.304,0.499,66.4,104.4,101.6,0.14800000000000002,0.478,0.306,2.8000000000000114,0.17299999999999993,2025,2026-03-18
